Lat,Long,Status,MMI_GOOGLE,HERE_GOOGLE,MMI_HERE
22.5676,88.3707,NaN,61,35,35
22.5839,88.3434,NaN,61,35,35
22.5851,88.3468,NaN,61,35,35
22.5448,88.3426,NaN,61,35,35
22.6549,88.3575,NaN,61,35,35
22.5646,88.3433,NaN,61,35,35
22.5455,88.3473,NaN,61,35,35
27.4083,94.7604,NaN,61,35,35
27.175,78.0422,NaN,61,35,35
26.9248,75.8246,NaN,61,35,35
26.9239,75.8267,NaN,61,35,35
28.5245,77.1855,NaN,21,42,10
28.6129,77.2295,NaN,51,41,41
28.5535,77.2588,NaN,51,41,41
26.5775,93.1711,NaN,51,41,41
10.1667,77.0667,NaN,51,41,41
11.6738,92.748,NaN,51,41,41
18.9217,72.833,NaN,10,40,10
28.4950116,77.0641847,NaN,9,9,9
